pathway_id	ensembl_gene_id
path:hsa00010	ENSG00000117448
path:hsa00010	ENSG00000187758
path:hsa00010	ENSG00000196616
path:hsa00010	ENSG00000248144
path:hsa00010	ENSG00000198099
path:hsa00010	ENSG00000197894
path:hsa00010	ENSG00000172955
path:hsa00010	ENSG00000143891
path:hsa00010	ENSG00000196344
path:hsa00010	ENSG00000166800
path:hsa00010	ENSG00000150768
path:hsa00010	ENSG00000091140
path:hsa00010	ENSG00000074800
path:hsa00010	ENSG00000111674
path:hsa00010	ENSG00000108515
path:hsa00010	ENSG00000111275
path:hsa00010	ENSG00000108602
path:hsa00010	ENSG00000137124
path:hsa00010	ENSG00000165140
path:hsa00010	ENSG00000006534
path:hsa00010	ENSG00000132746
path:hsa00010	ENSG00000143149
path:hsa00010	ENSG00000072210
path:hsa00010	ENSG00000149925
path:hsa00010	ENSG00000136872
path:hsa00010	ENSG00000109107
path:hsa00010	ENSG00000131482
path:hsa00010	ENSG00000111640
path:hsa00010	ENSG00000105679
path:hsa00010	ENSG00000106633
path:hsa00010	ENSG00000105220
path:hsa00010	ENSG00000156515
path:hsa00010	ENSG00000159399
path:hsa00010	ENSG00000160883
path:hsa00010	ENSG00000188316
path:hsa00010	ENSG00000134333
path:hsa00010	ENSG00000111716
path:hsa00010	ENSG00000166796
path:hsa00010	ENSG00000226784
path:hsa00010	ENSG00000164904
path:hsa00010	ENSG00000124253
path:hsa00010	ENSG00000100889
path:hsa00010	ENSG00000131828
path:hsa00010	ENSG00000163114
path:hsa00010	ENSG00000168291
path:hsa00010	ENSG00000141959
path:hsa00010	ENSG00000152556
path:hsa00010	ENSG00000067057
path:hsa00010	ENSG00000171314
path:hsa00010	ENSG00000164708
path:hsa00010	ENSG00000102144
path:hsa00010	ENSG00000170950
path:hsa00010	ENSG00000079739
path:hsa00010	ENSG00000143627
path:hsa00010	ENSG00000067225
path:hsa00010	ENSG00000169299
path:hsa00010	ENSG00000131069
path:hsa00010	ENSG00000152254
path:hsa00010	ENSG00000172331
path:hsa00010	ENSG00000111669
path:hsa00010	ENSG00000156510
path:hsa00010	ENSG00000159322
path:hsa00010	ENSG00000154930
path:hsa00010	ENSG00000130957
path:hsa00010	ENSG00000171989
path:hsa00010	ENSG00000141349
path:hsa00010	ENSG00000107789
path:hsa00020	ENSG00000062485
path:hsa00020	ENSG00000150768
path:hsa00020	ENSG00000091140
path:hsa00020	ENSG00000119689
path:hsa00020	ENSG00000091483
path:hsa00020	ENSG00000138413
path:hsa00020	ENSG00000182054
path:hsa00020	ENSG00000166411
path:hsa00020	ENSG00000101365
path:hsa00020	ENSG00000067829
path:hsa00020	ENSG00000014641
path:hsa00020	ENSG00000146701
path:hsa00020	ENSG00000131473
path:hsa00020	ENSG00000122729
path:hsa00020	ENSG00000105953
path:hsa00020	ENSG00000100412
path:hsa00020	ENSG00000173599
path:hsa00020	ENSG00000124253
path:hsa00020	ENSG00000100889
path:hsa00020	ENSG00000131828
path:hsa00020	ENSG00000163114
